범죄대분류,범죄중분류,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과
강력범죄,살인기수,60,8,14,48,36,14,21,6,18,17,28
강력범죄,살인미수등,89,16,39,74,65,30,19,8,14,14,20
강력범죄,강도,78,15,33,69,47,47,54,34,49,40,29
강력범죄,강간,366,79,153,311,320,281,489,483,784,818,1179
강력범죄,유사강간,50,9,35,45,46,49,83,69,146,124,158
강력범죄,강제추행,1481,314,536,565,615,631,1528,1616,2960,1861,1855
강력범죄,"기타 강간,강제추행등",24,4,5,24,35,12,19,21,19,26,49
강력범죄,방화,177,29,73,126,86,60,93,78,147,130,47
절도범죄,소계,12325,2804,5050,6570,9133,9358,19032,24460,40080,28297,9300
폭력범죄,상해,4165,738,1055,1309,1240,1435,3435,3799,6240,3521,1516
폭력범죄,폭행,18710,3837,5485,4707,4157,5529,15231,16446,25122,12951,3767
폭력범죄,"체포,감금",129,29,62,89,86,46,118,110,196,177,123
폭력범죄,협박,3232,556,1066,1239,1135,1108,2252,2316,4043,2670,1441
폭력범죄,"약취,유인",22,1,7,17,15,19,17,29,37,35,41
폭력범죄,폭력행위등,838,98,173,211,186,211,510,700,1504,1296,757
폭력범죄,공갈,326,36,53,140,194,148,259,304,931,1188,1552
폭력범죄,손괴,5653,1015,1719,2402,2966,2646,6028,7143,12490,9518,2608
지능범죄,직무유기,105,0,5,92,79,27,37,72,124,118,298
지능범죄,직권남용,96,1,3,69,62,31,51,70,136,111,245
지능범죄,증수뢰,15,0,1,8,9,1,10,5,15,23,315
지능범죄,통화,23,3,9,20,13,10,25,39,74,95,65
지능범죄,"문서,인장",734,18,25,416,312,174,334,510,1132,1290,5527
지능범죄,유가증권인지,6,0,0,4,1,2,1,6,13,7,23
지능범죄,사기,17460,1520,2791,8294,9618,7517,13418,17087,44730,64870,106770
지능범죄,횡령,4241,679,1096,1892,2374,2006,3850,5441,11215,9322,8305
지능범죄,배임,229,1,3,142,85,31,47,104,244,276,2304
풍속범죄,성풍속범죄,1788,287,481,610,756,814,1510,1528,2986,2896,3313
풍속범죄,도박범죄,460,64,153,238,199,143,295,302,539,896,3102
특별경제범죄,소계,4476,697,1290,2014,1720,1378,2666,3144,6229,6555,10539
마약범죄,소계,633,77,110,298,426,381,484,475,1216,1683,2305
보건범죄,소계,2026,112,155,965,678,523,1287,2014,4262,2738,2176
환경범죄,소계,475,2,8,293,119,93,258,456,805,508,639
교통범죄,소계,107822,9362,7555,8097,8889,14049,34715,35627,53367,24212,4939
노동범죄,소계,30,1,1,25,13,8,12,22,56,69,169
안보범죄,소계,10,2,2,6,3,3,5,2,24,29,120
선거범죄,소계,22,6,1,17,16,13,30,36,57,38,38
병역범죄,소계,194,0,0,105,64,48,82,141,325,385,479
기타범죄,소계,25577,2625,4407,9455,8426,7192,16162,18960,39579,40141,70558
