범죄대분류,범죄중분류,수사_형사,외근_112차,교통,검문소,기타 경찰,방범원,경비원,피해자,기타 민간인,기타,미상
강력범죄,살인기수,168,71,0,0,6,0,0,1,1,1,60
강력범죄,살인미수등,144,229,2,0,12,0,0,2,1,2,38
강력범죄,강도,571,120,1,0,20,0,1,5,8,0,62
강력범죄,강간,1549,552,1,0,2330,0,1,9,3,25,1255
강력범죄,유사강간,296,104,2,0,396,0,0,0,0,11,114
강력범죄,강제추행,5053,2528,6,0,5762,1,1,69,37,137,2206
강력범죄,기타 강간 강제추행등,108,28,4,0,107,0,0,2,2,1,32
강력범죄,방화,596,476,0,0,7,0,0,0,2,2,79
절도범죄,절도범죄,74465,9945,78,0,3137,7,61,922,335,293,7216
폭력범죄,상해,20765,7158,107,0,3301,0,2,86,9,144,2096
폭력범죄,폭행,75538,32122,143,0,18566,2,4,389,14,742,30348
폭력범죄,체포 감금,629,263,2,0,224,0,0,0,0,11,361
폭력범죄,협박,8777,5815,701,0,3624,0,0,56,7,156,3764
폭력범죄,약취 유인,145,40,0,0,57,0,0,0,0,1,86
폭력범죄,폭력행위등,14371,2998,3,0,1830,0,3,20,1,106,2722
폭력범죄,공갈,1710,130,3,0,375,0,0,3,0,12,2179
폭력범죄,손괴,22281,7560,62,0,2772,2,1,108,12,148,4825
지능범죄,직무유기,244,0,0,0,18,0,0,0,0,3,1173
지능범죄,직권남용,240,1,0,0,12,0,0,0,0,2,1434
지능범죄,증수뢰,533,2,0,0,30,0,0,0,0,7,178
지능범죄,통화,17,1,0,0,2,0,0,0,0,0,220
지능범죄,문서 인장,6819,318,43,0,633,0,1,10,2,129,5315
지능범죄,유가증권인지,31,4,0,0,5,0,0,1,0,0,49
지능범죄,사기,106750,6078,1665,1,6104,2,3,117,21,1628,102938
지능범죄,횡령,20623,1054,23,0,1219,0,1,28,11,199,9084
지능범죄,배임,2752,20,4,0,166,0,0,4,1,28,3083
풍속범죄,성풍속범죄,8012,1942,5,0,6793,1,4,66,72,168,5007
풍속범죄,도박범죄,7446,3145,7,0,322,0,3,1,0,109,1120
특별경제범죄,특별경제범죄,30652,8124,20,0,1379,1,0,39,6,534,18316
마약범죄,마약범죄,10523,357,4,0,536,0,0,0,2,56,910
보건범죄,보건범죄,43958,3864,8,0,2990,2,1,5,19,1114,6931
환경범죄,환경범죄,4008,52,1,0,217,0,0,2,1,175,658
교통범죄,교통범죄,11038,87796,111332,6,12569,1,7,477,62,3343,19278
노동범죄,노동범죄,607,4,0,0,28,0,0,0,0,13,96
안보범죄,안보범죄,551,1,0,0,65,0,0,0,1,6,174
선거범죄,선거범죄,2735,67,0,0,72,0,0,0,1,23,1395
병역범죄,병역범죄,3458,22,4,0,193,0,0,2,1,145,951
기타범죄,기타범죄,129770,27107,3515,1,26939,2,18,220,109,3112,68188
